admin,confirm,rate
China,84400.00 ,8.43 
Hong Kong S.A.R.,84400.00 ,8.43 
Japan,15793.00 ,234.14 
India,42505.00 ,2087.86 
South Korea,10801.00 ,9.00 
Thailand,2969.00 ,6.71 
Singapore,18205.00 ,654.43 
Malaysia,6298.00 ,74.00 
Vietnam,271.00 ,0.14 
Sri Lanka,718.00 ,27.86 
Nepal,84.00 ,4.57 
Cambodia,122.00 ,0.00 
United Arab Emirates,14163.00 ,544.86 
Philippines,9223.00 ,234.86 
Iran,97424.00 ,991.86 
以色列,16205.00 ,109.29 
Lebanon,737.00 ,4.29 
Iraq,2296.00 ,68.00 
Kuwait,4983.00 ,272.57 
Bahrain,3383.00 ,105.14 
Afghanistan,2704.00 ,167.57 
Oman,2568.00 ,81.43 
South Georgia and the Islands,589.00 ,14.71 
Pakistan,20084.00 ,965.14 
Azerbaijan,1932.00 ,41.00 
Qatar,15551.00 ,752.00 
Armenia,2386.00 ,91.43 
Indonesia,11192.00 ,330.00 
Jordan,461.00 ,2.00 
Saudi Arabia,27011.00 ,1355.57 
Bhutan,7.00 ,0.00 
巴勒斯坦,520.00 ,3.57 
Maldives,528.00 ,44.86 
Bangladesh,9455.00 ,577.00 
Mongolia,39.00 ,0.14 
Brunei Darussalam,138.00 ,0.00 
Cyprus,872.00 ,7.86 
Turkey,126045.00 ,2273.57 
Kazakhstan,3920.00 ,171.86 
Uzbekistan,2149.00 ,40.00 
Kyrgyzstan,795.00 ,16.14 
North Korea,,0.00 
Myanmar,155.00 ,1.29 
Laos,19.00 ,0.00 
East Timor,24.00 ,0.00 
Tajikistan,76.00 ,10.86 
Turkmenistan,,0.00 
Syria,44.00 ,0.14 
Yemen,10.00 ,1.29 
Germany,166061.00 ,1116.29 
United Kingdom,187842.00 ,4828.86 
France,168814.00 ,959.14 
Italy,210717.00 ,1863.14 
Russia,134690.00 ,7676.86 
Spain,247122.00 ,2927.57 
Sweden,22420.00 ,523.00 
Finland,5254.00 ,96.86 
Belgium,49906.00 ,538.86 
Austria,15597.00 ,53.14 
Croatia,2096.00 ,9.43 
Switzerland,29905.00 ,120.57 
Greece,2626.00 ,15.57 
Norway,7847.00 ,48.00 
Macedonia,1511.00 ,17.86 
Romania,13163.00 ,303.86 
Denmark,9721.00 ,135.43 
Estonia,1700.00 ,8.14 
Netherlands,40769.00 ,389.86 
San Marino,582.00 ,6.29 
Lithuania,1410.00 ,10.33 
Belarus,16705.00 ,891.71 
Iceland,1799.00 ,1.00 
Monaco,95.00 ,0.14 
Ireland,21506.00 ,320.57 
Luxembourg,3824.00 ,14.43 
Czech Republic,7781.00 ,53.86 
Portugal,25282.00 ,202.57 
Andorra,748.00 ,1.14 
Latvia,879.00 ,9.57 
Ukraine,11913.00 ,470.86 
Poland,13693.00 ,296.57 
Liechtenstein,82.00 ,0.00 
Slovenia,1439.00 ,6.14 
Hungary,2998.00 ,71.14 
Bosnia,1857.00 ,48.71 
Republic of Serbia,9464.00 ,203.14 
Vatican,11.00 ,0.29 
Bulgaria,1618.00 ,45.43 
Malta,477.00 ,4.14 
Slovakia,1408.00 ,4.14 
Moldova,4121.00 ,101.86 
Albania,795.00 ,9.86 
Montenegro,322.00 ,0.14 
Faroe Islands,46.00 ,5.71 
Egypt,6465.00 ,275.86 
Algeria,4474.00 ,156.00 
Nigeria,2558.00 ,183.57 
Morocco,4903.00 ,119.71 
Tunisia,1013.00 ,9.14 
Senegal,1182.00 ,73.00 
South Africa,6783.00 ,319.57 
Cameroon,2077.00 ,65.14 
Togo,124.00 ,3.71 
Burkina Faso,662.00 ,4.29 
Democratic Republic of the Congo,674.00 ,30.71 
Ivory Coast,1398.00 ,35.43 
Ghana,2169.00 ,88.43 
Gabon,335.00 ,22.71 
Kenya,465.00 ,15.71 
Sudan,592.00 ,50.71 
Mauritania,8.00 ,0.14 
Guinea,1586.00 ,70.29 
Central African Republic,72.00 ,4.43 
Equatorial Guinea,315.00 ,8.14 
Republic of the Congo,229.00 ,4.14 
Ethiopia,135.00 ,1.71 
Rwanda,259.00 ,9.71 
Seychelles,11.00 ,0.00 
Namibia,16.00 ,0.00 
Swaziland,112.00 ,7.57 
Liberia,158.00 ,3.57 
Somalia,722.00 ,40.86 
United Republic of Tanzania,480.00 ,25.86 
Benin,90.00 ,3.71 
Gambia,17.00 ,1.00 
Djibouti,1112.00 ,12.71 
Zambia,124.00 ,5.14 
Mauritius,332.00 ,0.00 
Niger,750.00 ,7.71 
Cape Verde,165.00 ,8.43 
Chad,117.00 ,10.14 
Libya,63.00 ,0.29 
Mali,563.00 ,24.86 
Guinea Bissau,257.00 ,29.14 
Sierra Leone,166.00 ,10.43 
Sao Tome and Principe,23.00 ,2.29 
Eritrea,39.00 ,0.00 
Uganda,89.00 ,1.43 
Burundi,19.00 ,0.57 
Angola,35.00 ,1.29 
Malawi,39.00 ,0.71 
Mozambique,80.00 ,0.57 
Zimbabwe,40.00 ,1.29 
Madagascar,149.00 ,3.57 
Lesotho,,0.00 
Botswana,23.00 ,0.14 
Mayotte,3.00 ,0.43 
United States of America,1188122.00 ,28648.71 
